model,steering_mechanism,layer,alpha,n,ER_mean,ER_pct_0,ER_pct_1,ER_pct_2,delta_vs_unsteered,delta_vs_alpha0,EX_mean,EX_pct_0,EX_pct_1,EX_pct_2,IP_mean,IP_pct_0,IP_pct_1,IP_pct_2
mistral7b,EX,31,2.0,200,,,,,-0.02,-0.02,0.0,1.0,0.0,0.0,,,,
llama31,IP,3,-1.0,200,,,,,-0.08,-0.08,,,,,0.38,0.81,0.0,0.19
llama31,IP,3,0.0,200,,,,,0.0,0.0,,,,,0.46,0.77,0.0,0.23
llama31,IP,3,1.0,200,,,,,0.0299999999999999,0.0299999999999999,,,,,0.49,0.755,0.0,0.245
llama31,IP,3,2.0,200,,,,,0.0199999999999999,0.0199999999999999,,,,,0.48,0.76,0.0,0.24
llama31,IP,7,-1.0,200,,,,,-0.06,-0.06,,,,,0.4,0.8,0.0,0.2
llama31,IP,7,0.0,200,,,,,0.0,0.0,,,,,0.46,0.77,0.0,0.23
llama31,IP,7,1.0,200,,,,,0.0299999999999999,0.0299999999999999,,,,,0.49,0.755,0.0,0.245
llama31,IP,7,2.0,200,,,,,0.1,0.1,,,,,0.56,0.72,0.0,0.28
llama31,IP,11,-1.0,200,,,,,-0.09,-0.09,,,,,0.37,0.815,0.0,0.185
llama31,IP,11,0.0,200,,,,,0.0,0.0,,,,,0.46,0.77,0.0,0.23
llama31,IP,11,1.0,200,,,,,0.0199999999999999,0.0199999999999999,,,,,0.48,0.76,0.0,0.24
llama31,IP,11,2.0,200,,,,,0.21,0.21,,,,,0.67,0.665,0.0,0.335
llama31,IP,15,-1.0,200,,,,,-0.18,-0.18,,,,,0.28,0.86,0.0,0.14
llama31,IP,15,0.0,200,,,,,0.0,0.0,,,,,0.46,0.77,0.0,0.23
llama31,IP,15,1.0,200,,,,,0.32,0.32,,,,,0.78,0.61,0.0,0.39
llama31,IP,15,2.0,200,,,,,1.08,1.08,,,,,1.54,0.23,0.0,0.77
llama31,IP,19,-1.0,200,,,,,-0.14,-0.14,,,,,0.32,0.84,0.0,0.16
llama31,IP,19,0.0,200,,,,,0.0,0.0,,,,,0.46,0.77,0.0,0.23
llama31,IP,19,1.0,200,,,,,0.34,0.34,,,,,0.8,0.6,0.0,0.4
llama31,IP,19,2.0,200,,,,,1.05,1.05,,,,,1.51,0.245,0.0,0.755
llama31,IP,23,-1.0,200,,,,,-0.11,-0.11,,,,,0.35,0.825,0.0,0.175
llama31,IP,23,0.0,200,,,,,0.0,0.0,,,,,0.46,0.77,0.0,0.23
llama31,IP,23,1.0,200,,,,,0.19,0.19,,,,,0.65,0.675,0.0,0.325
llama31,IP,23,2.0,200,,,,,0.8300000000000001,0.8300000000000001,,,,,1.29,0.355,0.0,0.645
llama31,IP,27,-1.0,200,,,,,-0.13,-0.13,,,,,0.33,0.835,0.0,0.165
llama31,IP,27,0.0,200,,,,,0.0,0.0,,,,,0.46,0.77,0.0,0.23
llama31,IP,27,1.0,200,,,,,0.1499999999999999,0.1499999999999999,,,,,0.61,0.695,0.0,0.305
llama31,IP,27,2.0,200,,,,,0.6000000000000001,0.6000000000000001,,,,,1.06,0.47,0.0,0.53
llama31,IP,31,-1.0,200,,,,,-0.21,-0.21,,,,,0.25,0.875,0.0,0.125
llama31,IP,31,0.0,200,,,,,0.0,0.0,,,,,0.46,0.77,0.0,0.23
llama31,IP,31,1.0,200,,,,,0.3599999999999999,0.3599999999999999,,,,,0.82,0.59,0.0,0.41
llama31,IP,31,2.0,200,,,,,1.25,1.25,,,,,1.71,0.145,0.0,0.855
qwen25,IP,3,-1.0,200,,,,,0.01,0.01,,,,,0.17,0.915,0.0,0.085
qwen25,IP,3,0.0,200,,,,,0.0,0.0,,,,,0.16,0.92,0.0,0.08
qwen25,IP,3,1.0,200,,,,,0.01,0.01,,,,,0.17,0.915,0.0,0.085
qwen25,IP,3,2.0,200,,,,,0.0799999999999999,0.0799999999999999,,,,,0.24,0.88,0.0,0.12
qwen25,IP,7,-1.0,200,,,,,0.0,0.0,,,,,0.16,0.92,0.0,0.08
qwen25,IP,7,0.0,200,,,,,0.0,0.0,,,,,0.16,0.92,0.0,0.08
qwen25,IP,7,1.0,200,,,,,0.1,0.1,,,,,0.26,0.87,0.0,0.13
qwen25,IP,7,2.0,200,,,,,0.18,0.18,,,,,0.34,0.83,0.0,0.17
qwen25,IP,11,-1.0,200,,,,,-0.01,-0.01,,,,,0.15,0.925,0.0,0.075
qwen25,IP,11,0.0,200,,,,,0.0,0.0,,,,,0.16,0.92,0.0,0.08
qwen25,IP,11,1.0,200,,,,,0.03,0.03,,,,,0.19,0.905,0.0,0.095
qwen25,IP,11,2.0,200,,,,,0.12,0.12,,,,,0.28,0.86,0.0,0.14
qwen25,IP,15,-1.0,200,,,,,-0.0199999999999999,-0.0199999999999999,,,,,0.14,0.93,0.0,0.07
qwen25,IP,15,0.0,200,,,,,0.0,0.0,,,,,0.16,0.92,0.0,0.08
qwen25,IP,15,1.0,200,,,,,0.16,0.16,,,,,0.32,0.84,0.0,0.16
qwen25,IP,15,2.0,200,,,,,0.47,0.47,,,,,0.63,0.685,0.0,0.315
qwen25,IP,19,-1.0,200,,,,,-0.08,-0.08,,,,,0.08,0.96,0.0,0.04
qwen25,IP,19,0.0,200,,,,,0.0,0.0,,,,,0.16,0.92,0.0,0.08
qwen25,IP,19,1.0,200,,,,,0.1899999999999999,0.1899999999999999,,,,,0.35,0.825,0.0,0.175
qwen25,IP,19,2.0,200,,,,,1.06,1.06,,,,,1.22,0.39,0.0,0.61
qwen25,IP,23,-1.0,200,,,,,-0.03,-0.03,,,,,0.13,0.935,0.0,0.065
qwen25,IP,23,0.0,200,,,,,0.0,0.0,,,,,0.16,0.92,0.0,0.08
qwen25,IP,23,1.0,200,,,,,0.1399999999999999,0.1399999999999999,,,,,0.3,0.85,0.0,0.15
qwen25,IP,23,2.0,200,,,,,0.4399999999999999,0.4399999999999999,,,,,0.6,0.7,0.0,0.3
qwen25,IP,27,-1.0,200,,,,,-0.03,-0.03,,,,,0.13,0.935,0.0,0.065
qwen25,IP,27,0.0,200,,,,,0.0,0.0,,,,,0.16,0.92,0.0,0.08
qwen25,IP,27,1.0,200,,,,,0.0,0.0,,,,,0.16,0.92,0.0,0.08
qwen25,IP,27,2.0,200,,,,,0.26,0.26,,,,,0.42,0.79,0.0,0.21
mistral7b,IP,3,-1.0,200,,,,,-0.0399999999999999,-0.0399999999999999,,,,,0.2,0.9,0.0,0.1
mistral7b,IP,3,0.0,200,,,,,0.0,0.0,,,,,0.24,0.88,0.0,0.12
mistral7b,IP,3,1.0,200,,,,,0.0,0.0,,,,,0.24,0.88,0.0,0.12
mistral7b,IP,3,2.0,200,,,,,-0.0099999999999999,-0.0099999999999999,,,,,0.23,0.885,0.0,0.115
mistral7b,IP,7,-1.0,200,,,,,-0.06,-0.06,,,,,0.18,0.91,0.0,0.09
mistral7b,IP,7,0.0,200,,,,,0.0,0.0,,,,,0.24,0.88,0.0,0.12
